school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Rock Creek Forest ES,597,48.9,51.1,≤5.0,≤5.0,15.2,30.3,≤5.0,43.2,5.7,18.8,22.9,6.4,Elementary School,2012-2013,,
Rock Creek Valley ES,416,54.1,45.9,≤5.0,11.3,7.2,40.9,≤5.0,32.0,7.9,27.9,35.3,21.4,Elementary School,2012-2013,,
Rock View ES,630,49.5,50.5,≤5.0,11.4,16.2,44.0,≤5.0,22.9,5.4,38.6,48.7,12.5,Elementary School,2012-2013,,
Lois P. Rockwell ES,449,52.6,47.4,≤5.0,10.7,12.2,21.2,≤5.0,49.2,6.2,16.9,23.6,18.7,Elementary School,2012-2013,,
Rolling Terrace ES,816,51.2,48.8,≤5.0,≤5.0,14.5,62.0,≤5.0,15.9,≤5.0,48.5,66.8,5.8,Elementary School,2012-2013,,
Rosemary Hills ES,731,50.5,49.5,≤5.0,5.2,13.0,16.1,≤5.0,57.7,7.7,17.5,21.1,7.0,Elementary School,2012-2013,,
Rosemont ES,532,54.5,45.5,≤5.0,10.0,23.1,44.2,≤5.0,15.8,6.4,35.2,59.0,10.7,Elementary School,2012-2013,,
Sequoyah ES,445,52.4,47.6,≤5.0,9.2,17.1,40.7,≤5.0,28.5,≤5.0,37.1,49.4,13.3,Elementary School,2012-2013,,
Seven Locks ES,358,56.4,43.6,≤5.0,16.8,8.9,9.5,≤5.0,57.5,6.7,8.1,6.1,5.3,Elementary School,2012-2013,,
Sherwood ES,489,48.5,51.5,≤5.0,13.5,18.2,10.2,≤5.0,53.2,≤5.0,9.0,13.5,10.2,Elementary School,2012-2013,,
Sargent Shriver ES,756,48.8,51.2,≤5.0,9.0,12.3,73.1,≤5.0,≤5.0,≤5.0,62.4,82.1,9.3,Elementary School,2012-2013,,
Flora M. Singer ES,505,50.7,49.3,≤5.0,7.1,14.7,32.7,≤5.0,39.0,5.7,30.7,37.0,13.5,Elementary School,2012-2013,,
Sligo Creek ES,564,47.0,53.0,≤5.0,≤5.0,21.5,11.0,≤5.0,53.0,9.4,7.3,14.4,9.4,Elementary School,2012-2013,,
Somerset ES,516,49.8,50.2,≤5.0,11.2,≤5.0,11.0,≤5.0,68.0,5.2,15.9,≤5.0,5.6,Elementary School,2012-2013,,
South Lake ES,785,49.6,50.4,≤5.0,7.9,32.0,52.9,≤5.0,≤5.0,≤5.0,48.0,76.2,6.5,Elementary School,2012-2013,,
Stedwick ES,594,52.7,47.3,≤5.0,7.6,34.7,34.8,≤5.0,16.5,5.6,33.3,57.4,8.1,Elementary School,2012-2013,,
Stone Mill ES,628,52.1,47.9,≤5.0,44.7,13.5,6.5,≤5.0,30.7,≤5.0,16.7,13.5,14.2,Elementary School,2012-2013,,
Stonegate ES,468,54.9,45.1,≤5.0,14.1,32.1,15.8,≤5.0,32.5,5.6,6.8,22.9,11.1,Elementary School,2012-2013,,
Strathmore ES,407,50.1,49.9,≤5.0,7.4,44.7,37.6,≤5.0,6.1,≤5.0,24.8,61.7,14.0,Elementary School,2012-2013,,
Strawberry Knoll ES,558,50.9,49.1,≤5.0,14.5,33.0,33.3,≤5.0,15.4,≤5.0,23.8,52.3,17.9,Elementary School,2012-2013,,
Summit Hall ES,608,50.5,49.5,≤5.0,5.4,25.8,62.2,≤5.0,≤5.0,≤5.0,51.2,77.6,7.7,Elementary School,2012-2013,,
