School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
Flora M. Singer ES,735,53.7,46.3,≤5.0,6.9,13.6,39.2,≤5.0,35.9,≤5.0,27.9,41.2,17
Sligo Creek ES,647,51.9,48.1,≤5.0,≤5.0,24.1,11.4,≤5.0,52.2,7.4,10.4,13.4,9.3
Somerset ES,569,51.7,48.3,≤5.0,9,≤5.0,16.2,≤5.0,62.7,8.1,18.1,8.4,6.5
South Lake ES,814,52.9,47.1,≤5.0,6.6,27.6,60.2,≤5.0,≤5.0,≤5.0,52.2,85.7,5.5
Stedwick ES,580,52.9,47.1,≤5.0,5.2,30.9,43.3,≤5.0,13.8,6.4,34.3,60.3,11.7
Stone Mill ES,644,49.8,50.2,≤5.0,49.2,12.6,5.4,≤5.0,28.4,≤5.0,10.6,9.3,12.3
Stonegate ES,494,52.8,47.2,≤5.0,15.2,33,17.2,≤5.0,25.1,9.1,10.5,24.9,13.2
Strathmore ES,473,49.9,50.1,≤5.0,5.7,41.6,43.3,≤5.0,6.1,≤5.0,20.9,60.7,13.1
Strawberry Knoll ES,619,51.9,48.1,≤5.0,13.2,29.1,37.8,≤5.0,12.9,6.1,21,48,16.3
Summit Hall ES,674,53.1,46.9,≤5.0,≤5.0,20,70.5,≤5.0,≤5.0,≤5.0,51.6,81.2,10.8
Takoma Park ES,703,48.2,51.8,≤5.0,≤5.0,35.6,16.9,≤5.0,37.3,6.8,29,36,5.8
Travilah ES,389,46.5,53.5,≤5.0,45.5,5.4,5.4,≤5.0,38.6,≤5.0,10.8,6.2,5.9
Twinbrook ES,547,52.7,47.3,≤5.0,13,9.3,61.1,≤5.0,13,≤5.0,49,65.3,10.4
Viers Mill ES,681,50.8,49.2,≤5.0,9,10,61.7,≤5.0,16.4,≤5.0,43.6,67.1,17.3
Washington Grove ES,444,56.3,43.7,≤5.0,9,22.1,55.2,≤5.0,11.5,≤5.0,50.5,74.3,20.5
Waters Landing ES,705,49.5,50.5,≤5.0,5.4,37.9,35.3,≤5.0,14.6,6.5,23,52.3,10.2
Watkins Mill ES,672,52.1,47.9,≤5.0,8.5,33.5,49,≤5.0,≤5.0,≤5.0,45.2,75.6,17.1
