school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Seven Locks ES,405,44.9,55.1,≤5.0,21.5,8.9,11.6,≤5.0,52.1,5.9,9.9,≤5.0,6.4,Elementary School,2017-2018
Sherwood ES,493,54.6,45.4,≤5.0,12.4,19.9,18.1,≤5.0,41.8,7.5,10.3,16.4,19.9,Elementary School,2017-2018
Sargent Shriver ES,796,52.1,47.9,≤5.0,7.8,8.9,78.3,≤5.0,≤5.0,≤5.0,53.6,82.7,8.3,Elementary School,2017-2018
Flora M. Singer ES,709,54.7,45.3,≤5.0,7.2,13.5,37,≤5.0,37,5.2,29.1,40.3,16.1,Elementary School,2017-2018
Sligo Creek ES,671,49.3,50.7,≤5.0,5.1,22.5,11.5,≤5.0,52.5,8.2,10.1,9.8,8.6,Elementary School,2017-2018
Somerset ES,595,48.2,51.8,≤5.0,8.7,5.7,13.8,≤5.0,63.4,8.1,17.3,7.1,5.5,Elementary School,2017-2018
South Lake ES,839,53.3,46.7,≤5.0,5.4,26.2,63.8,≤5.0,≤5.0,≤5.0,57.2,82.7,6.3,Elementary School,2017-2018
Stedwick ES,607,49.3,50.7,≤5.0,≤5.0,28.5,48.1,≤5.0,12.4,5.8,42.2,65.1,15,Elementary School,2017-2018
Stone Mill ES,601,53.1,46.9,≤5.0,50.9,11,6.2,≤5.0,26,6,11.3,10,11.1,Elementary School,2017-2018
Stonegate ES,510,49.6,50.4,≤5.0,13.5,35.1,21.6,≤5.0,20.4,9,15.5,24.5,16.9,Elementary School,2017-2018
Strathmore ES,436,53.9,46.1,≤5.0,6,41.1,42.9,≤5.0,5.7,≤5.0,32.6,66.1,12.6,Elementary School,2017-2018
Strawberry Knoll ES,658,48.9,51.1,≤5.0,14,25.8,40.6,≤5.0,12.3,6.7,21.6,43.3,16.4,Elementary School,2017-2018
Summit Hall ES,668,52.8,47.2,≤5.0,≤5.0,20.7,70.4,≤5.0,≤5.0,≤5.0,54.5,76.5,10.8,Elementary School,2017-2018
Takoma Park ES,623,52.8,47.2,≤5.0,≤5.0,30.8,15.9,≤5.0,43.3,6.1,23,28.6,8,Elementary School,2017-2018
Travilah ES,399,48.4,51.6,≤5.0,45.9,6.3,9,≤5.0,35.8,≤5.0,7.8,7.5,8.5,Elementary School,2017-2018
Twinbrook ES,549,54.5,45.5,≤5.0,13.1,9.7,63,≤5.0,9.7,≤5.0,55,70.1,9.8,Elementary School,2017-2018
Viers Mill ES,644,50.2,49.8,≤5.0,8.9,11.2,63.2,≤5.0,13.7,≤5.0,42.9,60.6,17.7,Elementary School,2017-2018
Washington Grove ES,482,53.1,46.9,≤5.0,5.8,23.2,59.3,≤5.0,8.7,≤5.0,52.1,72.8,16.4,Elementary School,2017-2018
Waters Landing ES,710,51.4,48.6,≤5.0,5.4,37.5,37.5,≤5.0,13.8,5.9,26.3,52,12.3,Elementary School,2017-2018
Watkins Mill ES,696,53.3,46.7,≤5.0,7.6,29.5,53.6,≤5.0,≤5.0,≤5.0,49.6,79,17.1,Elementary School,2017-2018
Wayside ES,548,53.3,46.7,≤5.0,46.2,7.1,7.1,≤5.0,33.2,6.4,9.5,≤5.0,9.1,Elementary School,2017-2018
Weller Road ES,701,49.1,50.9,≤5.0,7,6.7,79.3,≤5.0,≤5.0,≤5.0,54.1,80.2,12.3,Elementary School,2017-2018
Westbrook ES,380,49.7,50.3,≤5.0,≤5.0,≤5.0,9.5,≤5.0,74.2,7.6,≤5.0,≤5.0,15.3,Elementary School,2017-2018
Westover ES,278,55.0,45.0,≤5.0,14.4,34.2,25.5,≤5.0,17.6,8.3,13.3,26.3,27.7,Elementary School,2017-2018
Wheaton Woods ES,546,49.8,50.2,≤5.0,7.9,26.6,59.7,≤5.0,≤5.0,≤5.0,49.5,83.3,9.5,Elementary School,2017-2018
Whetstone ES,790,54.6,45.4,≤5.0,8.6,28.7,51.8,≤5.0,7.7,≤5.0,42.3,60.6,19.4,Elementary School,2017-2018
Wilson Wims ES,1207,53.3,46.7,≤5.0,43.7,14.5,13.3,≤5.0,21.9,6.5,10.2,9.8,8,Elementary School,2017-2018
Wood Acres ES,676,51.0,49.0,≤5.0,9.5,≤5.0,12.7,≤5.0,67.9,6.4,7.2,≤5.0,9.3,Elementary School,2017-2018
Woodfield ES,331,50.5,49.5,≤5.0,6.6,7.6,23.6,≤5.0,55.3,6.9,5.4,18.1,21.5,Elementary School,2017-2018
Woodlin ES,572,49.8,50.2,≤5.0,7.2,24.8,20.8,≤5.0,39.2,7.9,14.3,20.6,13.8,Elementary School,2017-2018
Wyngate ES,738,50.9,49.1,≤5.0,11,≤5.0,11.8,≤5.0,64.2,8.9,8.9,≤5.0,5.8,Elementary School,2017-2018
Argyle MS,989,61.7,38.3,≤5.0,10,30.1,46.9,≤5.0,10.5,≤5.0,12.6,53.8,10.9,Middle School,2017-2018
John T. Baker MS,872,47.5,52.5,≤5.0,6.2,12.2,25.1,≤5.0,51,5.2,≤5.0,22,15.7,Middle School,2017-2018
Benjamin Banneker MS,840,52.6,47.4,≤5.0,11.2,66.1,15.7,≤5.0,≤5.0,≤5.0,5.2,48.7,8.7,Middle School,2017-2018
Briggs Chaney MS,886,53.3,46.7,≤5.0,13.3,52.6,21.2,≤5.0,9.1,≤5.0,6.1,46,13.1,Middle School,2017-2018
Cabin John MS,1005,52.0,48.0,≤5.0,31.6,11.6,7.8,≤5.0,42.8,6.1,≤5.0,7.2,14.7,Middle School,2017-2018
Roberto W. Clemente MS,1373,50.1,49.9,≤5.0,25.5,24,29.9,≤5.0,14.9,5.6,5.8,33.4,9.9,Middle School,2017-2018
